Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield,rain_temp_interaction,pesticides_tonnes_log
Saudi Arabia,Sorghum,2000,59.0,3024.11,26.55,13384,1566.45,8.014702733440165
Greece,Sweet potatoes,2012,652.0,8002.2,18.82,199034,12270.64,8.9875967406833
Colombia,Maize,2006,3240.0,98328.63,27.51,25368,89132.40000000001,11.496080684927705
Zimbabwe,Potatoes,2010,657.0,3305.17,21.17,166825,13908.69,8.103545698716514
Dominican Republic,Sweet potatoes,2007,1410.0,5689.8,27.08,75696,38182.799999999996,8.646606114777011
India,Cassava,1991,1083.0,72133.0,27.35,218925,29620.050000000003,11.186280779387824
India,Sweet potatoes,2002,1083.0,42482.56,26.12,85694,28287.960000000003,10.656872456547575
India,Wheat,2007,1083.0,27422.77,27.55,27079,29836.65,10.219165434547868
Japan,Potatoes,2002,1668.0,70262.54,16.09,334130,26838.12,11.160008308837506
Burkina Faso,Maize,2012,748.0,843.0,28.67,18386,21445.16,6.738152494595957
Italy,Sweet potatoes,2002,832.0,94211.0,8.15,113661,6780.8,11.453302840986256
Japan,"Rice, paddy",2011,1668.0,51796.3,15.62,66624,26054.16,10.855093303336972
India,Wheat,2006,1083.0,37423.0,25.78,26188,27919.74,10.53006748882396
Nicaragua,Potatoes,1996,2280.0,2041.7,26.76,144737,61012.8,7.622027741157031
Zambia,Sorghum,2011,1020.0,1670.0,20.88,8223,21297.6,7.421177528595393
Guinea,Cassava,2007,1651.0,400.55,27.28,80249,45039.28,5.995332058634471
Canada,Wheat,1997,537.0,38258.2,6.72,21285,3608.64,10.55213933320951
New Zealand,Wheat,2013,1732.0,5086.0,13.57,91053,23503.24,8.534443544822764
Turkey,Wheat,2005,593.0,40332.0,19.44,23309,11527.92,10.604925271413808
India,Wheat,2007,1083.0,27422.77,26.0,27079,28158.0,10.219165434547868
Bulgaria,Maize,2000,608.0,2876.0,9.9,17239,6019.2,7.964503363551548
India,"Rice, paddy",1997,1083.0,52279.0,26.38,28457,28569.539999999997,10.864369167738158
Brazil,Potatoes,2011,1761.0,345026.0,27.29,262528,48057.689999999995,12.75137795382084
Pakistan,Wheat,1992,494.0,5518.0,18.34,19910,9059.96,8.615951963439501
Jamaica,"Rice, paddy",2005,2051.0,909.71,27.34,30000,56074.34,6.814224515077888
Mauritania,Yams,1992,92.0,39.09,27.52,70000,2531.84,3.6911269266544156
Iraq,Soybeans,2004,216.0,828.62,20.0,10000,4320.0,6.720967764628582
Angola,Potatoes,1995,1010.0,336.0,24.56,76738,24805.6,5.820082930352362
Guinea,"Rice, paddy",1995,1651.0,153.0,27.23,17122,44956.73,5.0369526024136295
Saudi Arabia,Wheat,2013,59.0,5412.5,27.78,64333,1639.02,8.596651112750953
Iraq,"Rice, paddy",1991,216.0,692.0,23.21,22008,5013.360000000001,6.541029999189903
Angola,"Rice, paddy",2005,1010.0,40.0,24.41,6977,24654.1,3.713572066704308
Mali,Sorghum,2006,282.0,11.87,27.62,8393,7788.84,2.554899021608035
Niger,Potatoes,2007,151.0,30.57,29.85,147395,4507.35,3.4522073025699003
Nicaragua,Sorghum,1997,2280.0,3207.4,27.43,16250,62540.4,8.07352764949277
Central African Republic,Potatoes,2004,1342.0,22.87,25.67,20308,34449.14,3.1726224403507386
Romania,Maize,2012,637.0,6418.7,12.33,21870,7854.21,8.767126666620213
Cameroon,Sorghum,2008,1604.0,882.13,25.42,14323,40773.68,6.783472415135432
Turkey,"Rice, paddy",1995,593.0,27328.0,10.93,50045,6481.49,10.215703688424663
Saudi Arabia,Wheat,2012,59.0,4996.2,26.83,59254,1582.9699999999998,8.516633034557675
Ecuador,Sweet potatoes,1997,2274.0,7612.0,23.0,38750,52302.0,8.937612591306213
Brazil,Sweet potatoes,1998,1761.0,118930.56,26.08,103928,45926.88,11.68630348059482
Ireland,Wheat,2007,1118.0,3083.02,10.11,84626,11302.98,8.033989219746498
Dominican Republic,Plantains and others,2008,1410.0,5409.43,26.56,94967,37449.6,8.596083851121891
India,Cassava,2007,1083.0,27422.77,25.66,322204,27789.78,10.219165434547868
