Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Saudi Arabia,Sorghum,2000,59.0,3024.11,26.55
Greece,Sweet potatoes,2012,652.0,8002.2,18.82
Colombia,Maize,2006,3240.0,98328.63,27.51
Zimbabwe,Potatoes,2010,657.0,3305.17,21.17
Dominican Republic,Sweet potatoes,2007,1410.0,5689.8,27.08
India,Cassava,1991,1083.0,72133.0,27.35
India,Sweet potatoes,2002,1083.0,42482.56,26.12
India,Wheat,2007,1083.0,27422.77,27.55
Japan,Potatoes,2002,1668.0,70262.54,16.09
Burkina Faso,Maize,2012,748.0,843.0,28.67
Italy,Sweet potatoes,2002,832.0,94211.0,8.15
Japan,"Rice, paddy",2011,1668.0,51796.3,15.62
India,Wheat,2006,1083.0,37423.0,25.78
Nicaragua,Potatoes,1996,2280.0,2041.7,26.76
Zambia,Sorghum,2011,1020.0,1670.0,20.88
Guinea,Cassava,2007,1651.0,400.55,27.28
Canada,Wheat,1997,537.0,38258.2,6.72
New Zealand,Wheat,2013,1732.0,5086.0,13.57
Turkey,Wheat,2005,593.0,40332.0,19.44
India,Wheat,2007,1083.0,27422.77,26.0
Bulgaria,Maize,2000,608.0,2876.0,9.9
India,"Rice, paddy",1997,1083.0,52279.0,26.38
Brazil,Potatoes,2011,1761.0,345026.0,27.29
Pakistan,Wheat,1992,494.0,5518.0,18.34
Jamaica,"Rice, paddy",2005,2051.0,909.71,27.34
Mauritania,Yams,1992,92.0,39.09,27.52
Iraq,Soybeans,2004,216.0,828.62,20.0
Angola,Potatoes,1995,1010.0,336.0,24.56
Guinea,"Rice, paddy",1995,1651.0,153.0,27.23
Saudi Arabia,Wheat,2013,59.0,5412.5,27.78
Iraq,"Rice, paddy",1991,216.0,692.0,23.21
Angola,"Rice, paddy",2005,1010.0,40.0,24.41
Mali,Sorghum,2006,282.0,11.87,27.62
Niger,Potatoes,2007,151.0,30.57,29.85
Nicaragua,Sorghum,1997,2280.0,3207.4,27.43
Central African Republic,Potatoes,2004,1342.0,22.87,25.67
Romania,Maize,2012,637.0,6418.7,12.33
Cameroon,Sorghum,2008,1604.0,882.13,25.42
Turkey,"Rice, paddy",1995,593.0,27328.0,10.93
Saudi Arabia,Wheat,2012,59.0,4996.2,26.83
Ecuador,Sweet potatoes,1997,2274.0,7612.0,23.0
Brazil,Sweet potatoes,1998,1761.0,118930.56,26.08
Ireland,Wheat,2007,1118.0,3083.02,10.11
